what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.php.core,2.1.1.v20090921-1100,"org.eclipse.php.core",1271824918156
started,bundle,org.eclipse.php.ui,2.1.1.v20090921-1100,"org.eclipse.php.ui",1271824918167
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1271824918209
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1271824918213
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1271824918223
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1271824918230
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1271824918231
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1271824918241
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1271824918244
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1271824918252
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1271824918255
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v2010012803,"org.eclipse.wst.jsdt.core",1271824918265
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1271824918265
started,bundle,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui",1271824918266
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1271824918275
started,bundle,org.eclipse.wst.sse.ui,1.1.102.v200910200227,"org.eclipse.wst.sse.ui",1271824918279
os,sysinfo,,,"linux",1271824918282
arch,sysinfo,,,"x86",1271824918282
ws,sysinfo,,,"gtk",1271824918282
locale,sysinfo,,,"en_IN",1271824918282
processors,sysinfo,,,"2",1271824918283
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1271824918283
java.runtime.version,sysinfo,,,"1.6.0_16-b01",1271824918283
java.specification.name,sysinfo,,,"Java Platform API Specification",1271824918283
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1271824918283
